OBJECTID,ID,NAME,STATE,STATUS,COUNTRY,LATITUDE,LONGITUDE,WELLIDNO,API,PERMITNO,OPERATOR,PRODTYPE,FIELD,COMPDATE,ID_LINK,GlobalID
604,SW48000604,"JOHNSON, F. I.",TX,ACTIVE WELL,USA,26.47175936,-98.31459277,32933,4221532933DW,610005,MERIT ENERGY COMPANY,UNKNOWN,"MONTE CHRISTO, N. (VICKSBURG T)",,W480482381,{C5CF2CA3-CA25-4C70-B054-9A5B227AD091}
605,SW48000605,"GUERRA, A.E.",TX,ACTIVE WELL,USA,26.57439072,-98.22898758,33411,4221533411D1,816899,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482038,{A398B24B-EB7B-44FD-A6A6-9ED6D7A8A5C9}
606,SW48000606,"GUERRA, A.E.",TX,ACTIVE WELL,USA,26.57180794,-98.23604086,33576,4221533576DW,815975,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482041,{FD0F60C9-EBD0-4F90-83EC-19C6C1F52089}
607,SW48000607,NOT AVAILABLE,TX,ACTIVE WELL,USA,26.56578901,-98.16483223,32059,4221532059D1,-999,NOT AVAILABLE,UNKNOWN,NOT AVAILABLE,,W480482048,{0211E29A-45CB-4345-B5B2-CAAAD5F72484}
608,SW48000608,CASA BLANCA 'C',TX,ACTIVE WELL,USA,26.52359334,-98.23795858,33248,4221533248DW,606575,DEWBRE PETROLEUM CORPORATION,UNKNOWN,"SANTELLANA, SOUTH (LF-3)",,W480482065,{66E63570-C395-4CD7-9205-FC267677E5AF}
609,SW48000609,CASA BLANCA 'C',TX,ACTIVE WELL,USA,26.52304176,-98.23743987,33248,4221533248D1,606575,DEWBRE PETROLEUM CORPORATION,UNKNOWN,"SANTELLANA, SOUTH (LF-3)",,W480482065,{23B0B030-4A5C-4C3C-BCEE-D04D491F3D45}
610,SW48000610,"GUERRA, A.E.",TX,ACTIVE WELL,USA,26.57425934,-98.22758854,33411,4221533411DW,816899,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482038,{D048D9ED-F2EA-4411-8702-36CCB4E5ABF7}
611,SW48000611,WOODS CHRISTIAN,TX,ACTIVE WELL,USA,26.6173397,-98.31910056,31822,4221531822D2,519184,MERIT ENERGY COMPANY,UNKNOWN,"MCALLEN RANCH (VKSBG P-V,S CONS)",,W480482089,{1B711BA8-6E69-40A3-B914-055D78974E1D}
612,SW48000612,"BEAURLINE, A. W.",TX,ACTIVE WELL,USA,26.66145807,-98.22618392,32139,4221532139D1,444944,"GENNESARET INVESTMENTS, LLC",UNKNOWN,"MCALLEN RANCH (VKSBG L-V, N CONS",,W480482067,{1BFD16A3-6ED9-4B83-A8F6-8A530EC89FDE}
613,SW48000613,"BEAURLINE, A. W.",TX,ACTIVE WELL,USA,26.65580372,-98.22041946,32301,4221532301D1,472568,"GENNESARET INVESTMENTS, LLC",UNKNOWN,"MCALLEN RANCH (VKSBG L-V, N CONS",,W480482072,{4CAB3664-9E08-42EF-BE96-82C92A74DF4A}
614,SW48000614,BOSTON TEXAS LAND & TRUST,TX,ACTIVE WELL,USA,26.50443329,-98.44444172,33276,4221533276DW,743466,MERIT ENERGY COMPANY,UNKNOWN,"JAVELINA ( 5,400)",,W480482066,{0989E213-33A1-4D18-A135-445BF5E67D7B}
615,SW48000615,"MCALLEN, A. A.",TX,ACTIVE WELL,USA,26.65513958,-98.29493686,31156,4221531156D1,493385,MERIT ENERGY COMPANY,UNKNOWN,"MCALLEN RANCH (VKSBG L-V, N CONS",,W480482033,{AA05B9B3-A5A9-4934-B4EE-9F2411884DD2}
616,SW48000616,E. L. MARTINEZ G.U. 1,TX,ACTIVE WELL,USA,26.62722123,-98.33121969,32043,4221532043D1,509112,HILCORP ENERGY COMPANY,UNKNOWN,MCALLEN RANCH (VICKSBURG N),,W480482062,{622B448C-D882-4E60-88DE-EB1D258BB8FB}
617,SW48000617,A.E. GUERRA,TX,ACTIVE WELL,USA,26.57086716,-98.23503885,33437,4221533437D2,825128,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482040,{F31E8B81-C15D-4A81-AE70-BB5A0AF51512}
618,SW48000618,PHARR FIELDWIDE UNIT,TX,ACTIVE WELL,USA,26.15798851,-98.15352347,33042,4221533042D2,705237,MERIT ENERGY COMPANY,UNKNOWN,MCALLEN-PHARR (CONSOLIDATED),,W480482151,{43F80BF3-D4F8-4CC4-8C60-D395D926782C}
619,SW48000619,SWOLI,TX,ACTIVE WELL,USA,26.58727818,-98.18454772,33094,4221533094DW,529988,DEWBRE PETROLEUM CORPORATION,UNKNOWN,"MCALLEN RANCH (GUERRA, E.)",,W480482578,{8AF1675A-1EB6-4E4D-9F11-0B1D647A132E}
620,SW48000620,"MANN, J.C. GAS UNIT",TX,ACTIVE WELL,USA,26.56196517,-98.16874724,33673,4221533673DW,822394,"MAGNUM PRODUCING, LP",UNKNOWN,NOT AVAILABLE,,W480482579,{C4FAD9DE-C9EE-4BA3-BDD5-B6CC76FE081E}
621,SW48000621,BOSTON TEXAS LAND & TRUST,TX,ACTIVE WELL,USA,26.4851073,-98.42833042,34142,4221534142D2,836504,MERIT ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482580,{355E9331-56AC-4B32-9BEE-9CB9B5B04A49}
622,SW48000622,A. E. GUERRA,TX,ACTIVE WELL,USA,26.57081459,-98.23393514,33545,4221533545D1,822504,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482584,{1F7B4A80-B8A0-45BA-BD18-F55D52EBCBBA}
623,SW48000623,A.E. GUERRA,TX,ACTIVE WELL,USA,26.56819175,-98.23750859,33793,4221533793D2,825129,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480482042,{B9F4F028-FD64-4C7A-BF91-180C96A66517}
624,SW48000624,OGU (LEWIS J. H. -B- 6,TX,ACTIVE WELL,USA,32.34068284,-95.69241098,30727,4221330727D1,512550,XTO ENERGY INC.,UNKNOWN,OPELIKA (RODESSA),2001/08/07 00:00:00+00,W480484329,{83E5BCD6-ED4A-4602-9996-4A84E7B6BFD1}
625,SW48000625,"OGU  (TULLOS, J. W. B-2)",TX,ACTIVE WELL,USA,32.32838266,-95.67220945,00292,4221300292D1,-999,CROSS TIMBERS OPERATING COMPANY,UNKNOWN,OPELIKA (RODESSA),1942/03/20 00:00:00+00,W480484331,{4E6E1C72-C9AC-451F-A30A-FFA68FF44471}
626,SW48000626,NOT AVAILABLE,TX,ACTIVE WELL,USA,32.32294953,-95.70971493,00230,4221300230D1,-999,EP OPERATING COMPANY,UNKNOWN,OPELIKA (PETTIT),,W480484332,{F0504EEB-958C-4220-9FCE-5BF96F889754}
627,SW48000627,"OGU  (MAGERS, T. M. -2)",TX,ACTIVE WELL,USA,32.30440043,-95.70277489,30330,4221330330D1,464902,XTO ENERGY INC.,UNKNOWN,OPELIKA (TRAVIS PEAK),1998/03/16 00:00:00+00,W480484333,{D267B086-A4EB-44FF-9EE2-DFCC7C311ADC}
628,SW48000628,ISAACS -207-,TX,ACTIVE WELL,USA,35.85347258,-100.47660293,30712,4221130712D1,-999,CIMAREX ENERGY CO. OF COLORADO,UNKNOWN,"RED DEER CREEK (MORROW, UPPER)",1977/10/02 00:00:00+00,W480484253,{CBC55821-BC50-4BAB-B10B-44F2D95DC237}
629,SW48000629,HOBART RANCH 50,TX,ACTIVE WELL,USA,35.70836474,-100.39157338,33630,4221133630D1,621218,"SAMSON LONE STAR, LLC",UNKNOWN,NOT AVAILABLE,,W480484309,{E05703BC-F174-490E-98B4-DACD4EA6C28B}
630,SW48000630,MERCER,TX,ACTIVE WELL,USA,32.40162005,-94.24603487,34521,4220334521D1,662718,"EAST TEXAS EXPLORATION, LLC",UNKNOWN,"CARTHAGE, NORTH (COTTON VALLEY)",2009/01/10 00:00:00+00,W480484866,{2AA0BF27-ED7F-4FD9-9816-40CBF136A1D2}
631,SW48000631,"MOORE, SANDERS",TX,ACTIVE WELL,USA,32.46675359,-94.2590052,32710,4220332710D1,604330,"EAST TEXAS EXPLORATION, LLC",UNKNOWN,BETHANY (TRAVIS PEAK CONS.),2006/06/06 00:00:00+00,W480484700,{40FD2D7A-176A-432D-9EFF-AFBE99FC6835}
632,SW48000632,"RUDD, W.L.",TX,ACTIVE WELL,USA,32.4639398,-94.06812157,31920,4220331920D1,550795,"HOPEWELL OPERATING, INC.",UNKNOWN,LONGWOOD (GOODLAND LIME),2004/09/10 00:00:00+00,W480484668,{D32625B8-5717-4518-8CAE-2ED58EAF767D}
633,SW48000633,MCKENZIE GAS LEASE,TX,ACTIVE WELL,USA,32.64972726,-94.23018712,34570,4220334570DW,665484,COVEY PARK RESOURCES LLC,UNKNOWN,"CARTHAGE, NORTH (COTTON VALLEY)",2008/10/25 00:00:00+00,W480484900,{3D5F7E8E-8B19-411C-AEE9-E29859451B49}
634,SW48000634,DUNKS -A-,TX,ACTIVE WELL,USA,29.99417811,-95.10349535,02642,4220102642D1,-999,"AMERICAN ENERGY SOURCES, INC.",UNKNOWN,RANKIN,,W480482748,{3B108A9F-A9CE-49A0-9D2B-8C93E56C0524}
635,SW48000635,HAMILL (WILCOX) GAS UNIT NO. 1,TX,ACTIVE WELL,USA,29.97318329,-95.48062735,32324,4220132324D2,808376,"CSL EXPLORATION, LP",UNKNOWN,NOT AVAILABLE,,W480482690,{C90962D7-71A0-4792-A51A-452CF57455A2}
636,SW48000636,LINCOLN PROPERTIES GAS UNIT 1,TX,ACTIVE WELL,USA,29.94743337,-95.49602269,32564,4220132564D2,808374,"CSL EXPLORATION, LP",UNKNOWN,NOT AVAILABLE,,W480482706,{C5DCCD67-7B85-4041-9038-210C0CCB14CF}
637,SW48000637,BASH UNIT,TX,ACTIVE WELL,USA,29.90661362,-95.4303744,31756,4220131756D1,470534,"AMERICO ENERGY RESOURCES, LLC",UNKNOWN,DURKEE (DY SAND),,W480482726,{83DF1981-2F3E-4E46-9606-FB531A6A4DFF}
638,SW48000638,PINE VILLAGE UNIT,TX,ACTIVE WELL,USA,29.90628592,-95.30319543,31025,4220131025D1,482829,"PRIMROSE RESOURCES, LLC",UNKNOWN,"DYERSDALE, N (Y-1)",,W480482752,{4A4A6F7E-8079-4A8C-99A0-8859CE374DD1}
